id,name,authors,mood
152,Brave New World / Brave New World Revisited,Aldous Huxley/Christopher Hitchens,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
153,The Fiery Cross (Outlander  #5),Diana Gabaldon/Janos Farkas,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
154,Different Seasons,Stephen King,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
155,Wolves of the Calla (The Dark Tower  #5),Stephen King/Bernie Wrightson,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
156,The Alienist (Dr. Laszlo Kreizler  #1),Caleb Carr,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
157,Foundation and Empire (Foundation #2),Isaac Asimov,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
158,The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1),Michael Connelly,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
159,A Bend in the Road,Nicholas Sparks,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
160,Three to Get Deadly (Stephanie Plum  #3),Janet Evanovich,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
161,Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs  #1),Judi Barrett/Ron Barrett,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
162,Tales of a Fourth Grade Nothing (Fudge  #1),Judy Blume,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
163,Murder at the Vicarage (Miss Marple  #1),Agatha Christie,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
164,Year of Wonders,Geraldine Brooks,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
165,No Country for Old Men,Cormac McCarthy,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
166,Second Foundation (Foundation #3),Isaac Asimov,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
167,Four to Score (Stephanie Plum  #4),Janet Evanovich,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
168,Fablehaven (Fablehaven  #1),Brandon Mull,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
169,The Screwtape Letters,C.S. Lewis,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
170,Guilty Pleasures (Anita Blake  Vampire Hunter  #1),Laurell K. Hamilton,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
171,A Beautiful Mind,Sylvia Nasar,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
172,The Monster at the End of this Book,Jon Stone/Michael J. Smollin,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
173,For One More Day,Mitch Albom,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
174,Einstein: His Life and Universe,Walter Isaacson,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
175,The Fires of Heaven (The Wheel of Time  #5),Robert Jordan,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
176,Nine Stories,J.D. Salinger,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
177,A Fine Balance,Rohinton Mistry,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
178,The Complete Maus,Art Spiegelman,"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
