id,name,authors,mood
377,For a Few Demons More (The Hollows  #5),Kim Harrison,[]
378,A Fistful of Charms (The Hollows  #4),Kim Harrison,[]
379,Kingdom Come,Mark Waid/Alex Ross/Elliot S. Maggin,[]
380,All the King's Men,Robert Penn Warren,[]
381,The Winds of War (The Henry Family  #1),Herman Wouk,[]
382,The 6th Target (Women's Murder Club  #6),James Patterson/Maxine Paetro,[]
383,The Realms of the Gods (Immortals  #4),Tamora Pierce,[]
384,Vanish (Rizzoli & Isles  #5),Tess Gerritsen,[]
385,Danny the Champion of the World,Roald Dahl/Quentin Blake,[]
386,Ship of Destiny (Liveship Traders  #3),Robin Hobb,[]
387,Black House (The Talisman  #2),Stephen King/Peter Straub,[]
388,Swan Song,Robert R. McCammon,[]
389,Morrigan's Cross (Circle Trilogy  #1),Nora Roberts,[]
390,The Player of Games (Culture  #2),Iain M. Banks,[]
391,Foundation and Earth (Foundation #5),Isaac Asimov,[]
392,From Potter's Field (Kay Scarpetta  #6),Patricia Cornwell,[]
393,Flags of Our Fathers,James D. Bradley/Ron Powers,[]
394,Farmer Boy (Little House  #2),Laura Ingalls Wilder/Garth Williams,[]
395,Fragile Things: Short Fictions and Wonders,Neil Gaiman,[]
396,The Black Ice (Harry Bosch  #2; Harry Bosch Universe  #2),Michael Connelly,[]
397,Boy: Tales of Childhood (Roald Dahl's Autobiography  #1),Roald Dahl/Quentin Blake,[]
398,I  Claudius (Claudius  #1),Robert Graves,[]
399,Dark Prince (Dark  #1),Christine Feehan,[]
400,Touching the Void: The True Story of One Man's Miraculous Survival,Joe Simpson,[]
401,Wolf-Speaker (Immortals  #2),Tamora Pierce,[]
402,The Truth (Discworld  #25; Industrial Revolution  #2),Terry Pratchett,[]
403,Trickster's Choice (Daughter of the Lioness  #1),Tamora Pierce,[]
